country,year,sex,age,suicides_no,population,
Albania,1905,female,15-24 years,,277900.00,
Albania,1905,female,25-34 years,,246800.00,
Albania,1905,female,35-54 years,,267500.00,
Albania,1905,female,5-14 years,,298300.00,
Albania,1905,female,55-74 years,,138700.00,
Albania,1905,female,75+ years,,34200.00,
Albania,1905,male,15-24 years,,301400.00,
Albania,1905,male,25-34 years,,264200.00,
Albania,1905,male,35-54 years,,296700.00,
Albania,1905,male,5-14 years,,325800.00,
Albania,1905,male,55-74 years,,132500.00,
Albania,1905,male,75+ years,,21100.00,
Albania,1905,female,15-24 years,,283900.00,
Albania,1905,female,25-34 years,,252100.00,
Albania,1905,female,35-54 years,,273200.00,
Albania,1905,female,5-14 years,,304700.00,
Albania,1905,female,55-74 years,,141700.00,
Albania,1905,female,75+ years,,34900.00,
Albania,1905,male,15-24 years,,306700.00,
Albania,1905,male,25-34 years,,269000.00,
Albania,1905,male,35-54 years,,302000.00,
Albania,1905,male,5-14 years,,331600.00,
Albania,1905,male,55-74 years,,134800.00,
Albania,1905,male,75+ years,,21400.00,
Albania,1905,female,15-24 years,14.00,289700.00,
Albania,1905,female,25-34 years,4.00,257200.00,
Albania,1905,female,35-54 years,6.00,278800.00,
Albania,1905,female,5-14 years,0.00,311000.00,
Albania,1905,female,55-74 years,0.00,144600.00,
Albania,1905,female,75+ years,1.00,35600.00,
Albania,1905,male,15-24 years,21.00,312900.00,
Albania,1905,male,25-34 years,9.00,274300.00,
Albania,1905,male,35-54 years,16.00,308000.00,
Albania,1905,male,5-14 years,0.00,338200.00,
Albania,1905,male,55-74 years,1.00,137500.00,
Albania,1905,male,75+ years,1.00,21800.00,
Albania,1905,female,15-24 years,8.00,295600.00,
Albania,1905,female,25-34 years,5.00,262400.00,
Albania,1905,female,35-54 years,4.00,284500.00,
Albania,1905,female,5-14 years,0.00,317200.00,
Albania,1905,female,55-74 years,3.00,147500.00,
Albania,1905,female,75+ years,2.00,36400.00,
Albania,1905,male,15-24 years,17.00,319200.00,
Albania,1905,male,25-34 years,5.00,279900.00,
Albania,1905,male,35-54 years,14.00,314100.00,
Albania,1905,male,5-14 years,0.00,345000.00,
Albania,1905,male,55-74 years,4.00,140200.00,
Albania,1905,male,75+ years,1.00,22300.00,
Albania,1905,female,15-24 years,5.00,299900.00,
Albania,1905,female,25-34 years,2.00,266300.00,
Albania,1905,female,35-54 years,7.00,288600.00,
